花田喜事	1416728	1993	7.5	46263	18.2	44.1	33.8	3.4	0.5	
年年有今日	4191644	1994	7.9	339678	25.9	44.7	26.2	2.8	0.4	
梅雨季节	1766592	1995	8.5	337	47.9	33.2	17.1	1.4	0.5	
铜马铁燕传奇	2995215	1995	5.5	252	4.8	10.8	50.0	21.5	12.9	
疯狂的兔子	1938923	1997	6.7	10091	14.7	26.9	41.7	10.5	6.2	
阴阳路	1480051	1997	6.7	9622	8.2	28.6	54.0	7.8	1.4	
桃色陷阱	1293819	1999	5.7	556	2.9	12.8	56.7	23.4	4.2	
女人的天空	26745186	1999	7.3	1324	30.0	28.8	24.7	8.1	8.4	
特警新人类	1299048	1999	6.3	21675	4.9	20.1	61.0	12.1	1.8	
宝莲灯	1299643	1999	7.9	99351	30.1	40.2	26.3	2.9	0.5	
阴阳路六之凶周刊	26961002	1999	5.1	8387	2.8	8.5	41.2	35.5	12.0	
红岩 第2部	2357699	1999	7.9	56877	23.5	50.4	24.5	1.5	0.2	
新家法	2084048	1999	6.4	5908	6.7	21.2	59.2	11.3	1.6	
国歌	1868115	1999	6.6	1246	9.6	23.3	57.3	7.5	2.3	
我的父亲母亲	1294007	1999	8.0	83475	26.2	48.8	23.2	1.5	0.3	
别让我撞上你	3321409	2000	7.7	68077	20.5	46.7	28.8	3.5	0.6	
辣妹天使	3134873	2000	4.9	41	6.7	3.3	36.7	33.3	20.0	
宇宙与人	1464628	2000	8.4	1402	44.2	35.5	17.1	2.8	0.5	
草房子	1302666	2000	8.3	1901	35.0	46.7	16.3	1.5	0.5	
